KD	all pos events	all neg events	comp	total
FAM120A	382	344	HepG2	726
EIF3G	373	316	HepG2	689
STIP1	465	373	HepG2	838
FASTKD2	369	291	HepG2	660
SND1	384	327	HepG2	711
PNPT1	433	348	HepG2	781
PSIP1	381	314	HepG2	695
HNRNPD	430	309	HepG2	739
HNRNPAB	354	280	HepG2	634
LSM11	294	272	HepG2	566
RPL23A	309	257	HepG2	566
CCAR2	276	269	HepG2	545
RCC2	302	293	HepG2	595
LARP7	385	316	HepG2	701
SBDS	416	325	HepG2	741
SRP68	322	262	HepG2	584
NUSAP1	277	253	HepG2	530
TROVE2	307	255	HepG2	562
HNRNPA0	338	262	HepG2	600
AATF	282	247	HepG2	529
DDX28	264	216	HepG2	480
RBM47	362	295	HepG2	657
CSTF2T	309	267	HepG2	576
FASTKD1	335	246	HepG2	581
CSTF2	221	192	HepG2	413
FKBP4	257	208	HepG2	465
AATF	444	420	K562	864
ABCF1	1108	1002	K562	2110
ABT1	39	57	K562	96
ADAR	110	89	K562	199
AGO1	318	328	K562	646
AKAP1	363	354	K562	717
APOBEC3C	1206	1201	K562	2407
AQR	3449	3641	K562	7090
ATP5C1	1521	1623	K562	3144
AUH	737	705	K562	1442
BCCIP	424	426	K562	850
BOP1	1357	1162	K562	2519
BUD13	793	743	K562	1536
CCAR2	1008	926	K562	1934
CCDC124	1314	1219	K562	2533
CELF1	1508	1730	K562	3238
CIRBP	581	557	K562	1138
CPEB4	995	922	K562	1917
CPSF6	1629	1420	K562	3049
CPSF7	27	23	K562	50
CSTF2	740	703	K562	1443
CSTF2T	396	403	K562	799
DAZAP1	849	765	K562	1614
DDX1	152	120	K562	272
DDX19B	1080	1044	K562	2124
ddx23	1949	1750	K562	3699
DDX24	401	378	K562	779
DDX27	340	318	K562	658
DDX28	360	338	K562	698
DDX3X	409	416	K562	825
DDX47	3076	3320	K562	6396
DDX52	311	290	K562	601
DDX55	369	374	K562	743
DDX6	466	430	K562	896
DHX30	79	55	K562	134
DKC1	1266	1255	K562	2521
DNAJC21	76	77	K562	153
DROSHA	1454	1245	K562	2699
EEF2	454	404	K562	858
EFTUD2	1457	1526	K562	2983
EIF2S1	440	402	K562	842
EIF2S2	916	887	K562	1803
EIF3A	466	513	K562	979
EIF3D	1029	1070	K562	2099
EIF3G	860	856	K562	1716
EIF4A3	2124	1899	K562	4023
EIF4B	492	474	K562	966
EIF4G1	19	18	K562	37
EIF4G2	380	409	K562	789
ESF1	750	671	K562	1421
EWSR1	421	404	K562	825
EXOSC9	574	547	K562	1121
FAM120A	307	286	K562	593
FASTKD2	312	325	K562	637
FIP1L1	901	837	K562	1738
FKBP4	695	651	K562	1346
FMR1	1422	1211	K562	2633
FUBP1	416	460	K562	876
FXR1	2712	2565	K562	5277
FXR2	1628	1621	K562	3249
G3BP2	1459	1441	K562	2900
GEMIN5	385	368	K562	753
GLRX3	853	766	K562	1619
GPKOW	1068	907	K562	1975
GRSF1	1485	1290	K562	2775
HLTF	349	337	K562	686
HNRNPA0	771	672	K562	1443
HNRNPA1	872	837	K562	1709
HNRNPA2B1	2363	2325	K562	4688
HNRNPAB	718	524	K562	1242
HNRNPC	3313	3338	K562	6651
HNRNPF	515	500	K562	1015
HNRNPL	1958	1971	K562	3929
HNRNPM	858	896	K562	1754
HNRNPU	1160	1075	K562	2235
HNRNPUL1	1344	1187	K562	2531
IGF2BP2	845	812	K562	1657
IGF2BP3	685	655	K562	1340
ILF3	77	93	K562	170
KHDRBS1	58	53	K562	111
KHSRP	786	699	K562	1485
KIF1C	1962	2188	K562	4150
KRR1	1069	943	K562	2012
LARP4	927	826	K562	1753
LARP7	528	448	K562	976
LIN28B	621	585	K562	1206
LSM11	408	352	K562	760
MAGOH	1401	1276	K562	2677
MAK16	1260	1281	K562	2541
MATR3	1370	1175	K562	2545
MBNL1	1895	2005	K562	3900
METAP2	1170	962	K562	2132
MSI2	1499	1330	K562	2829
NAA15	2014	2304	K562	4318
NCBP2	655	588	K562	1243
NELFE	797	712	K562	1509
NOL12	1352	1278	K562	2630
NONO	482	441	K562	923
NSUN2	1376	1263	K562	2639
NUFIP2	584	558	K562	1142
NUSAP1	593	502	K562	1095
PABPC1	800	641	K562	1441
PABPC4	325	328	K562	653
PCBP1	746	764	K562	1510
PCBP2	1745	2020	K562	3765
PES1	256	233	K562	489
PKM	687	608	K562	1295
PNPT1	959	943	K562	1902
PPIG	892	841	K562	1733
PPIL4	676	571	K562	1247
PPP1R8	2015	1821	K562	3836
PRPF4	432	516	K562	948
PRPF6	590	629	K562	1219
PRPF8	1548	1670	K562	3218
PSIP1	580	530	K562	1110
PTBP1	2618	2477	K562	5095
PUF60	3976	4303	K562	8279
PUM1	1800	1682	K562	3482
PUM2	1316	1218	K562	2534
PUS1	3533	4523	K562	8056
QKI	465	434	K562	899
RAVER1	496	474	K562	970
RBM15	2731	3263	K562	5994
RBM22	998	931	K562	1929
RBM25	606	637	K562	1243
RBM34	569	510	K562	1079
RBM39	2371	2607	K562	4978
RCC2	578	538	K562	1116
RPS10	282	296	K562	578
RPS3A	654	547	K562	1201
RRP9	368	350	K562	718
SART3	610	495	K562	1105
SERBP1	548	533	K562	1081
SF1	3742	2869	K562	6611
SF3A3	1797	1799	K562	3596
SF3B1	1263	1237	K562	2500
SF3B4	1620	1849	K562	3469
SLBP	100	102	K562	202
SLTM	244	284	K562	528
SMN1	661	553	K562	1214
SMNDC1	449	437	K562	886
SND1	249	281	K562	530
SNRNP200	1928	1890	K562	3818
SRFBP1	407	424	K562	831
SRP68	672	603	K562	1275
SRSF1	3740	3992	K562	7732
SRSF5	608	581	K562	1189
SSB	382	349	K562	731
SSRP1	1004	895	K562	1899
STAU1	1073	919	K562	1992
STIP1	617	516	K562	1133
SUCLG1	904	914	K562	1818
SUGP2	2070	1917	K562	3987
SUPV3L1	1176	1025	K562	2201
TAF15	633	575	K562	1208
TARDBP	2119	1992	K562	4111
TBRG4	447	404	K562	851
TIA1	813	753	K562	1566
TIAL1	580	508	K562	1088
TRA2A	650	646	K562	1296
TRIM56	749	726	K562	1475
TRIP6	988	864	K562	1852
TUFM	567	621	K562	1188
U2AF1	1658	1874	K562	3532
U2AF2	2188	2510	K562	4698
UCHL5	817	704	K562	1521
UTP18	1964	2203	K562	4167
WDR3	1100	1003	K562	2103
WDR43	1166	1139	K562	2305
XPO1	85	92	K562	177
XPO5	1293	1176	K562	2469
XRN1	294	272	K562	566
YBX3	30	26	K562	56
YTHDC2	1910	1875	K562	3785
ZRANB2	416	404	K562	820
